,neuron_id,neuron_type,RF_area,RF_center
203,203,e5Rbp4,200.0,[6.5 7. ]
204,204,e5Rbp4,600.0,[6.         6.16666667]
205,205,e5Rbp4,600.0,[4.5 7. ]
206,206,e5Rbp4,400.0,[5. 5.]
207,207,e5Rbp4,600.0,[5.  5.5]
208,208,e5Rbp4,400.0,[4. 6.]
209,209,e5Rbp4,1000.0,[6.  5.5]
210,210,e5Rbp4,700.0,[4.5        5.21428571]
211,211,e5Rbp4,600.0,[7.66666667 6.33333333]
212,212,e5Rbp4,800.0,[12.  5.]
213,213,e5Rbp4,300.0,[5.83333333 3.83333333]
214,214,e5Rbp4,800.0,[8.25 1.75]
215,215,e5Rbp4,500.0,[4.7 5.1]
216,216,e5Rbp4,2100.0,[5.97619048 3.78571429]
217,217,e5Rbp4,400.0,[5. 4.]
218,218,e5Rbp4,700.0,[5.5 4.5]
219,219,e5Rbp4,600.0,[5.33333333 6.33333333]
220,220,e5Rbp4,500.0,[7.1 4.3]
221,221,e5Rbp4,300.0,[8.5 4.5]
222,222,e5Rbp4,900.0,[7.16666667 6.05555556]
223,223,e5Rbp4,600.0,[4.  4.5]
224,224,e5Rbp4,400.0,[8. 6.]
225,225,e5Rbp4,1000.0,[8.3 5.5]
226,226,e5Rbp4,400.0,[5.5  0.75]
227,227,e5Rbp4,500.0,[4.3 4.9]
228,228,e5Rbp4,600.0,[6.83333333 4.83333333]
229,229,e5Rbp4,500.0,[0.9 1.3]
230,230,e5Rbp4,900.0,[5.5 4.5]
231,231,e5Rbp4,400.0,[5. 5.]
232,232,e5Rbp4,500.0,[8.7 4.1]
233,233,e5Rbp4,400.0,[6. 5.]
234,234,e5Rbp4,300.0,[4.83333333 5.16666667]
235,235,e5Rbp4,800.0,[5.5 5. ]
236,236,e5Rbp4,500.0,[7.3 4.1]
237,237,e5Rbp4,500.0,[7.9 6.3]
238,238,e5Rbp4,500.0,[3.9 5.3]
239,239,e5Rbp4,300.0,[10.16666667  0.83333333]
240,240,e5Rbp4,600.0,[9.  5.5]
241,241,e5Rbp4,1700.0,[7.26470588 4.55882353]
242,242,e5Rbp4,300.0,[5.16666667 5.16666667]
243,243,e5Rbp4,500.0,[6.7 5.1]
244,244,e5Rbp4,600.0,[2.5 5. ]
245,245,e5Rbp4,400.0,[5. 6.]
246,246,e5Rbp4,400.0,[1. 1.]
247,247,e5Rbp4,300.0,[4.83333333 5.16666667]
248,248,e5Rbp4,300.0,[6.5 6.5]
249,249,e5Rbp4,500.0,[5.3 5.9]
250,250,e5Rbp4,200.0,[4.5 6. ]
251,251,e5Rbp4,300.0,[4.16666667 5.83333333]
252,252,e5Rbp4,500.0,[4.1 5.7]
253,253,e5Rbp4,700.0,[4.78571429 6.07142857]
254,254,e5Rbp4,400.0,[9.  5.5]
255,255,e5Rbp4,400.0,[9. 6.]
256,256,e5Rbp4,700.0,[6.5 6.5]
257,257,e5Rbp4,,[6.44285714 9.41428571]
258,258,e5Rbp4,800.0,[10.75  7.5 ]
259,259,e5Rbp4,400.0,[5. 5.]
260,260,e5Rbp4,900.0,[10.94444444  7.38888889]
261,261,e5Rbp4,400.0,[8. 4.]
262,262,e5Rbp4,600.0,[7.66666667 6.33333333]
263,263,e5Rbp4,500.0,[5.5 4.5]
264,264,e5Rbp4,400.0,[7. 7.]
265,265,e5Rbp4,400.0,[8. 5.]
266,266,e5Rbp4,600.0,[8.  4.5]
267,267,e5Rbp4,300.0,[8.5 6.5]
268,268,e5Rbp4,400.0,[5. 5.]
269,269,e5Rbp4,900.0,[4.61111111 5.05555556]
270,270,e5Rbp4,400.0,[8. 5.]
271,271,e5Rbp4,,[3.85714286 5.03571429]
272,272,e5Rbp4,2300.0,[7.10869565 5.67391304]
273,273,e5Rbp4,600.0,[6.  5.5]
