,node_id pop_name max_mean_rate(Hz) preferred_angle OSI DSI Ave_Rate(Hz) firing_rate_sp,firing_rate_white_flash,firing_rate_black_flash,tfs,significant_tfs
4512,4512 i4Pvalb 5.182506847261036 64.18852474057832 0.1098111259350982 0.0890771970257087 3.8375 3.1750000000000003,,,,
4513,4513 i4Pvalb 5.201339099815886 60.9423336727306 0.107790919821242 0.1147889366255393 3.7 3.8749999999999996,,,,
4514,4514 i4Pvalb 7.372080037505157 71.06104004666375 0.0809664253267039 0.0683477448468974 4.9125000000000005 3.75,,,,
4515,4515 i4Pvalb 5.730467172396777 72.7745198655621 0.0614135676994738 0.1208732651368352 4.25 3.275,,,,
4516,4516 i4Pvalb 6.25408819192694 78.13003665251084 0.106661586359143 0.0735299088723727 4.71875 3.8750000000000004,,,,
4517,4517 i4Pvalb 7.859343233480549 86.8683895064145 0.0874621228197282 0.0554291747747256 5.887499999999999 3.875,,,,
4518,4518 i4Pvalb 8.567875393460993 78.67588238567795 0.1695169608033367 0.0940225197521683 5.468749999999999 3.8499999999999996,,,,
4519,4519 i4Pvalb 6.271567456392545 84.01713255009703 0.1102073544868601 0.0729899250104228 4.643750000000001 4.55,,,,
4520,4520 i4Pvalb 8.46857555626247 81.48669882465131 0.1783480394623735 0.1154451440316211 5.274999999999999 3.1,,,,
4521,4521 i4Pvalb 5.892167883191741 94.71821684229693 0.0926410200525598 0.0818715912291104 3.95 2.675,,,,
4522,4522 i4Pvalb 8.833134586765807 87.62542169053951 0.1795282901263243 0.0971343278637703 5.6875 3.65,,,,
4523,4523 i4Pvalb 9.586768299619704 84.51020029801907 0.1285483153712733 0.0717264433134601 6.81875 4.925000000000001,,,,
4524,4524 i4Pvalb 13.213955934385028 95.1905074439057 0.1428428783995296 0.0771901203713779 9.15 6.35,,,,
4525,4525 i4Pvalb 13.706702444525156 81.8039394068465 0.0637328560812372 0.0733489978187875 11.018749999999995 12.000000000000002,,,,
4526,4526 i4Pvalb 13.45  0.011954634915941 0.0203174352263752 12.73125 14.274999999999999,,,,
4527,4527 i4Pvalb 11.703477670757778 97.50177028975646 0.2097983871933184 0.1080598340226216 6.96875 4.25,11.04,4.6,58.0,True
4528,4528 i4Pvalb 12.85  0.0166049510201327 0.0117537539430345 12.15 13.875,,,,
4529,4529 i4Pvalb 13.155242129934614 97.4956403416526 0.1883333942806893 0.0892180067497693 8.25 5.549999999999999,,,,
4530,4530 i4Pvalb 10.95638327035154 101.84410141168595 0.2064155119288305 0.1129812391356573 6.64375 3.9499999999999997,12.040000000000001,6.08,54.0,True
4531,4531 i4Pvalb 15.12234018506494 88.01668597742831 0.0353110441572645 0.0239772467655447 13.29375 14.2,,,,
4532,4532 i4Pvalb 12.525588758576664 105.83550906386672 0.1864476657356018 0.1192397281904607 7.74375 5.575,,,,
4533,4533 i4Pvalb 12.826329943842154 83.76330930827501 0.0839129102345449 0.0480360843813932 10.3875 14.425,,,,
4534,4534 i4Pvalb 13.75  0.0209378631992477 0.017547022897443 12.7625 14.9,,,,
4535,4535 i4Pvalb 9.985745311466813 117.90573782994004 0.1329568256877122 0.1251163824488413 6.618750000000001 5.800000000000001,11.6,6.8,50.5,True
4536,4536 i4Pvalb 13.6  0.0019775086933418 0.0124804608081921 13.03125 15.3,,,,
4537,4537 i4Pvalb 12.7  0.0036942123724016 0.0208326879946948 12.2 14.350000000000001,,,,
4538,4538 i4Pvalb 12.95  0.0142721818053135 0.0200638939525524 12.14375 13.075,,,,
4539,4539 i4Pvalb 12.947919160633502 130.00673164577455 0.0338645711984567 0.0282443547656626 11.5375 9.375,14.68,9.520000000000001,46.5,True
4540,4540 i4Pvalb 13.75  0.0183651786516328 0.0166236681273508 12.75625 14.25,,,,
4541,4541 i4Pvalb 13.85  0.0126341131883771 0.0201324928612619 12.9 14.025,,,,
4542,4542 i4Pvalb 14.498851499317984 134.82447498272933 0.0339753643497529 0.014735507450967 13.250000000000002 12.225000000000001,,,,
4543,4543 i4Pvalb 13.454036297388535 136.91333432861109 0.1939014610856204 0.036791898641538 9.1125 5.45,10.48,4.720000000000001,60.0,True
4544,4544 i4Pvalb 12.15  0.0164303143669551 0.017687517979476 11.46875 13.625,,,,
4545,4545 i4Pvalb 12.9  0.0112861572513041 0.0137443405480915 12.49375 15.950000000000001,,,,
4546,4546 i4Pvalb 13.2  0.0160917371800288 0.015007719011402 12.5375 14.625,,,,
4547,4547 i4Pvalb 13.35  0.0081492730258824 0.0172690449620475 12.85625 14.85,,,,
4548,4548 i4Pvalb 14.0  0.0174822135693029 0.0099002325067805 13.3 15.575,,,,
4549,4549 i4Pvalb 13.43628139593063 136.84716569515436 0.0337693356111371 0.0378912178075167 12.01875 7.449999999999999,18.599999999999998,10.0,57.0,True
4550,4550 i4Pvalb 13.25  0.0096937033644271 0.0226844849249523 12.51875 14.024999999999999,,,,
4551,4551 i4Pvalb 14.3  0.0173184525949865 0.0252085782939813 13.25 14.950000000000003,,,,
4552,4552 i4Pvalb 13.6  0.0056888163717488 0.0094923056847318 13.275 14.875,,,,
4553,4553 i4Pvalb 12.15  0.0219025289995739 0.0098784587942402 11.64375 13.250000000000002,,,,
4554,4554 i4Pvalb 11.35230686119723 161.8685464572774 0.1449357900282408 0.0467959331721268 8.256250000000001 5.2,10.120000000000001,5.2,60.0,True
4555,4555 i4Pvalb 12.278363898349282 158.99219959452165 0.1639652575826033 0.0841826769633745 7.875000000000001 5.05,10.8,6.44,57.0,True
4556,4556 i4Pvalb 13.9  0.0193526273953722 0.0241653054899382 13.19375 15.05,,,,
4557,4557 i4Pvalb 12.121222723150314 168.89610180208072 0.1642393451680179 0.1195726442209935 7.4875 5.9750000000000005,,,,
4558,4558 i4Pvalb 6.08736701705263 177.7587039927204 0.058843011479699 0.0568136065819046 5.0 4.875000000000001,10.36,5.159999999999999,47.0,True
4559,4559 i4Pvalb 10.799108967079558 179.97750267028078 0.1681174130108047 0.1084615086011481 6.8812500000000005 5.4750000000000005,9.28,5.760000000000001,57.0,True
4560,4560 i4Pvalb 12.45  0.0270292978234496 0.0174992406328806 11.45 13.999999999999998,,,,
4561,4561 i4Pvalb 6.955584941526701 174.26816384622975 0.1671213015308554 0.0732804011110418 4.65 4.15,,,,
4562,4562 i4Pvalb 10.802933932487974 178.72805823587797 0.1684288575200793 0.106785781200314 6.35625 4.7749999999999995,,,,
4563,4563 i4Pvalb 11.56275360640271 185.5187853022476 0.1292909344964258 0.1469445180372451 7.0375000000000005 5.1000000000000005,,,,
4564,4564 i4Pvalb 10.18505334414126 183.46239550727464 0.1398088365303932 0.1273009373451446 6.55625 6.4,,,,
4565,4565 i4Pvalb 10.534313067743389 186.4911350723306 0.1622244893277548 0.1428857633099948 6.18125 5.125,,,,
4566,4566 i4Pvalb 8.231939330518632 186.1451602135895 0.1937737969455907 0.1301965869884906 4.7562500000000005 4.0,,,,
4567,4567 i4Pvalb 9.640503121116318 190.64576479905213 0.1280220581241097 0.1017162110346107 6.46875 5.050000000000001,7.52,3.68,54.0,True
4568,4568 i4Pvalb 12.9  0.0152939592846887 0.016851148208058 12.29375 14.674999999999999,,,,
4569,4569 i4Pvalb 9.543921639691805 187.39337797133712 0.1122261524209077 0.0979551939796407 6.200000000000001 5.6,,,,
4570,4570 i4Pvalb 14.503692823026576 224.22863858933687 0.0314078510649953 0.0110419298866946 13.5375 16.675,,,,
4571,4571 i4Pvalb 4.4  0.1398391210633339 0.0980137188150483 2.9875 2.5749999999999997,,,,
4572,4572 i4Pvalb 7.6  0.1828231679716809 0.1408686137177114 4.96875 4.7,7.4799999999999995,4.04,58.0,True
4573,4573 i4Pvalb 6.05  0.0825273195323051 0.082126576543854 4.65 3.9250000000000003,,,,
4574,4574 i4Pvalb 5.8  0.0716393493419089 0.0762003416316716 4.731249999999999 4.2,,,,
4575,4575 i4Pvalb 9.252937650676133 212.46426723046025 0.1228465714755093 0.142492544332467 6.075 5.55,,,,
4576,4576 i4Pvalb 5.25  0.060873253346239 0.0504447782064164 4.51875 3.725,,,,
4577,4577 i4Pvalb 6.05  0.059177286008615 0.0784972993367307 4.91875 4.7,,,,
4578,4578 i4Pvalb 5.204041342160908 217.51007393316144 0.1147519599090159 0.0813765278797277 3.825 3.5000000000000004,,,,
4579,4579 i4Pvalb 5.7759065901612345 235.39212828893625 0.0768606402796747 0.063403000919877 4.4375 3.8499999999999996,,,,
4580,4580 i4Pvalb 4.15  0.064212065733954 0.0681784402455962 3.35625 2.7,,,,
4581,4581 i4Pvalb 4.899093756586385 229.4407056926113 0.1442577814156936 0.1284411378540639 3.2125000000000004 3.4000000000000004,,,,
4582,4582 i4Pvalb 5.1  0.068209403810047 0.0346496297940605 4.2625 4.1000000000000005,,,,
4583,4583 i4Pvalb 4.503486244850257 232.9470337776404 0.0763392121104571 0.0552216721522533 3.7375 3.2,,,,
4584,4584 i4Pvalb 4.05  0.0684931506849315 0.0881633645367708 3.19375 2.8249999999999997,,,,
4585,4585 i4Pvalb 3.972644988175901 257.1553387491068 0.0608472282890457 0.0533851725749957 3.3125 2.925,,,,
4586,4586 i4Pvalb 6.356222847157865 243.77806033958797 0.1344454417227676 0.121744936587114 4.075 3.2999999999999994,,,,
4587,4587 i4Pvalb 6.659343167490464 252.45065579338305 0.0548980415851938 0.0648015367250288 4.606249999999999 4.2,,,,
4588,4588 i4Pvalb 5.858168833383884 253.8056607991149 0.0892185861680789 0.0818338630973207 3.7312500000000006 3.6,,,,
4589,4589 i4Pvalb 5.75  0.0422535211267606 0.0438341522165444 4.88125 4.25,,,,
4590,4590 i4Pvalb 6.67662782448621 251.71464811123528 0.0879576871452314 0.1294488188900954 4.449999999999999 4.125,,,,
4591,4591 i4Pvalb 4.7642826980798345 243.02529915495165 0.070846379553457 0.0301597163028678 3.70625 3.275,,,,
4592,4592 i4Pvalb 7.264980931533899 264.67194176319987 0.1105017700063261 0.048270922358524 5.43125 4.35,,,,
4593,4593 i4Pvalb 5.25  0.0750410360130248 0.0386510881824889 4.2875000000000005 3.575,,,,
4594,4594 i4Pvalb 5.15  0.0704328302638083 0.0952695205115244 3.68125 2.95,,,,
4595,4595 i4Pvalb 6.363833103930611 252.9130876037532 0.0553367827368932 0.0478312524079484 5.35625 4.3,,,,
4596,4596 i4Pvalb 11.695364069517288 264.2259876744481 0.0758827948910594 0.0962877375016531 8.31875 14.5,,,,
4597,4597 i4Pvalb 5.95  0.0523393812015346 0.0671859059229774 5.0125 3.575,,,,
4598,4598 i4Pvalb 13.35  0.0151362260343087 0.0279197575124183 12.3875 14.349999999999998,,,,
4599,4599 i4Pvalb 11.241532956416206 260.45957899587256 0.1329255212723383 0.1119852295482376 7.05 5.3500000000000005,,,,
4600,4600 i4Pvalb 8.833722249472125 274.6649409924712 0.0731551388999024 0.0863306174210611 6.8625 4.625,7.04,4.159999999999999,60.0,True
4601,4601 i4Pvalb 10.296744107483631 281.09337270034064 0.1454473908106618 0.1065528976367906 6.387499999999999 3.8,,,,
4602,4602 i4Pvalb 8.713088389652636 279.94277130052035 0.1175107379040812 0.1342170008158847 5.925 4.549999999999999,,,,
4603,4603 i4Pvalb 6.7  0.1143415042398723 0.0977750246899712 4.9 3.75,,,,
4604,4604 i4Pvalb 6.8  0.1318228241873772 0.1254628748244619 4.7625 3.5500000000000003,,,,
4605,4605 i4Pvalb 7.75  0.0429277316372402 0.0678370502627794 6.38125 6.324999999999999,,,,
4606,4606 i4Pvalb 7.35  0.2318912707367052 0.1240515907732973 4.51875 3.2,12.88,6.720000000000001,49.0,True
4607,4607 i4Pvalb 13.3  0.00750828210648 0.0150754095456666 12.70625 15.399999999999999,,,,
4608,4608 i4Pvalb 10.0  0.1656859780278773 0.0795444858165587 7.025 4.775,,,,
4609,4609 i4Pvalb 10.24966959971806 286.1165540555777 0.222149279987106 0.0666665072369281 6.625 4.375,12.319999999999999,6.4799999999999995,51.5,True
4610,4610 i4Pvalb 9.7  0.1755139426568073 0.0638446155612958 6.99375 4.5,,,,
4611,4611 i4Pvalb 13.3  0.0139063503397896 0.0117273081300927 12.4875 15.1,,,,
4612,4612 i4Pvalb 10.85  0.0887294791817153 0.1025542204939273 8.24375 7.225,9.799999999999999,4.32,51.5,True
4613,4613 i4Pvalb 10.85  0.19333884915851 0.0778579658361994 7.2625 3.625,,,,
4614,4614 i4Pvalb 10.65  0.1585736059179457 0.0588168279833939 7.73125 4.0,12.68,6.64,55.0,True
4615,4615 i4Pvalb 14.35  0.011224425478088 0.0088574147273628 13.775 15.475,,,,
4616,4616 i4Pvalb 13.45  0.0103308452710799 0.0258198813325874 12.25 14.7,,,,
4617,4617 i4Pvalb 13.15  0.0181630786285648 0.0286705447605866 12.468749999999998 13.524999999999999,,,,
4618,4618 i4Pvalb 13.35  0.0087366943273847 0.013000862142709 12.65625 13.975000000000001,,,,
4619,4619 i4Pvalb 12.9  0.0043042840026788 0.0172255827154081 12.40625 14.024999999999999,,,,
4620,4620 i4Pvalb 13.75  0.0057719630783261 0.0154641265911475 13.39375 14.875,,,,
4621,4621 i4Pvalb 12.85  0.0165289256198347 0.0202467814045663 12.1 13.700000000000001,,,,
4622,4622 i4Pvalb 12.52866403079713 325.09355450959623 0.2023141193014445 0.0522174909992968 8.2875 5.3,14.92,7.720000000000001,52.0,True
4623,4623 i4Pvalb 12.8  0.0058689484682184 0.025176357747794 11.7625 13.8,,,,
4624,4624 i4Pvalb 13.95  0.0133019630045619 0.0333414667779772 13.23125 15.725000000000001,,,,
4625,4625 i4Pvalb 12.2  0.0075909512426275 0.0317910692066435 11.55625 13.15,,,,
4626,4626 i4Pvalb 12.1  0.011808426565976 0.0237900428592505 11.65625 14.1,,,,
4627,4627 i4Pvalb 13.3  0.011642356410101 0.0227546523513197 12.39375 14.5,,,,
4628,4628 i4Pvalb 11.370230852795393 343.61236599742654 0.1924445083116889 0.0860321843601801 7.431249999999999 4.124999999999999,,,,
4629,4629 i4Pvalb 10.853332828257104 343.8874385087562 0.1607126708041612 0.1196208055125499 7.09375 4.8,,,,
4630,4630 i4Pvalb 12.65  0.012388518391646 0.0084552742138616 12.275 13.075,,,,
4631,4631 i4Pvalb 11.85  0.0186681068847589 0.0432208986409382 10.78125 6.6,18.44,8.36,48.5,True
4632,4632 i4Pvalb 11.35  0.0046468344370597 0.0222725993975308 10.84375 13.075,,,,
4633,4633 i4Pvalb 12.426187640260755 359.31873673844973 0.1583168435482327 0.0701104145572718 8.60625 6.425,,,,
4634,4634 i4Pvalb 10.358949575054057 355.0032947766193 0.1664962746504778 0.111288370965101 6.5375000000000005 4.525,,,,
4635,4635 i23Sst 11.893551634292256 8.546664702650327 0.0482089540978582 0.0274654960833318 10.45625 3.725,,,,
4636,4636 i23Sst 10.2  0.0525939277996611 0.0294757116687632 9.1 2.5249999999999995,,,,
4637,4637 i23Sst 9.75  0.0533939853398605 0.009715119323949 8.825000000000001 1.7750000000000001,11.56,6.36,75.5,True
4638,4638 i23Sst 10.251864551600992 37.32189348413652 0.0696858856821525 0.0415114266554147 8.625 1.725,14.239999999999998,12.120000000000001,59.5,True
4639,4639 i23Sst 8.94168981518079 49.91323157540881 0.0940623834644864 0.0617418199862832 6.9625 2.0500000000000003,14.28,8.319999999999999,62.0,True
4640,4640 i23Sst 10.963153963099344 50.60504009828978 0.0413223140495868 0.0273645048784563 9.83125 2.0500000000000003,14.0,7.88,63.0,True
4641,4641 i23Sst 11.611665513506212 68.34298685046164 0.0572299413707153 0.028399096021202 10.11875 2.55,16.84,8.72,61.5,True
4642,4642 i23Sst 11.255790867710552 57.370405960546805 0.0852621718660096 0.0219439254965349 9.5125 2.15,10.92,8.56,91.5,True
4643,4643 i23Sst 9.85  0.0276856077716829 0.0230224397538805 9.075 2.75,,,,
4644,4644 i23Sst 15.176365681798186 66.78544957006216 0.0424920905026107 0.0115201696536107 12.84375 4.075000000000001,15.16,9.36,65.0,True
4645,4645 i23Sst 10.490303253974414 82.08037825848216 0.0699656190380018 0.0172685291747428 9.01875 2.4000000000000004,12.44,7.0,64.0,True
4646,4646 i23Sst 12.902370541244863 87.74877948192301 0.0335678824394689 0.0226456481838731 11.58125 3.8499999999999996,16.2,9.28,64.5,True
4647,4647 i23Sst 12.147881560530976 92.77253461893984 0.0439529886321318 0.0294922794477441 10.531249999999998 3.7500000000000004,14.72,6.4,62.0,True
4648,4648 i23Sst 12.88346464062275 94.64991004964972 0.0350680119490204 0.0204989669114667 11.368750000000002 3.35,14.44,7.16,56.5,True
4649,4649 i23Sst 10.95  0.0247777423659748 0.0254476327926321 9.95 2.075,9.96,7.36,80.5,False
4650,4650 i23Sst 13.892262607739324 124.13561080700188 0.0665882658249399 0.029283991861187 12.13125 3.675,,,,
4651,4651 i23Sst 13.45  0.0547368199018242 0.0426808596537293 11.7125 8.575000000000001,12.92,9.32,64.5,True
4652,4652 i23Sst 15.973524273905058 132.43859099181068 0.0345498210510449 0.0190468490009722 14.5125 9.375,12.8,10.72,58.0,True
4653,4653 i23Sst 12.108833111104616 136.94380683477735 0.0650679306284052 0.0314338417924116 10.13125 7.175,,,,
4654,4654 i23Sst 13.655260863883552 135.49505437354787 0.0702581355258533 0.0299308457578224 11.58125 7.074999999999999,16.400000000000002,7.52,54.0,True
4655,4655 i23Sst 13.959372833015486 153.3113653355156 0.0442102372645451 0.0146762749498267 12.3 5.95,,,,
4656,4656 i23Sst 12.75  0.0301498787604567 0.0220240546435279 11.88125 6.4,,,,
4657,4657 i23Sst 4.190450950889026 149.9105885927962 0.2079663434308542 0.0466805502602267 2.5 1.25,,,,
4658,4658 i23Sst 10.119142652280413 160.59443622296507 0.0764250122320621 0.0327987917583214 8.4625 1.7249999999999999,15.32,9.28,55.0,True
4659,4659 i23Sst 13.652656078347627 158.31495567032394 0.0501583364989142 0.0120467588025046 11.3 5.575,,,,
4660,4660 i23Sst 12.469604982959174 162.03100937072682 0.0523319001127141 0.0122997603872502 10.325 3.3249999999999997,11.12,7.32,64.5,True
4661,4661 i23Sst 3.109692116289009 179.7832144980768 0.253940817202245 0.1232005797167981 1.8500000000000003 1.4249999999999998,,,,
4662,4662 i23Sst 5.0  0.1086268290978808 0.1034745859377419 3.662500000000001 1.6500000000000001,,,,
4663,4663 i23Sst 12.75  0.0332824918218025 0.0189683998270201 11.26875 4.9,13.4,5.4,57.5,True
4664,4664 i23Sst 10.5  0.061647281241447 0.0351375365859179 9.2875 6.55,,,,
4665,4665 i23Sst 2.85  0.0883883476483184 0.1341654913084298 2.0 1.725,,,,
4666,4666 i23Sst 10.15  0.0222986240356149 0.032303632660024 9.18125 3.9,,,,
4667,4667 i23Sst 8.402930600673358 217.7209949209413 0.0835593642420628 0.038036937577354 6.75 3.1249999999999996,,,,
4668,4668 i23Sst 4.552504434462461 218.0827427864534 0.1373929934974957 0.1162652694350182 3.04375 1.025,,,,
4669,4669 i23Sst 5.581133787250495 234.083153564309 0.2535303708153744 0.1244315063245599 3.2 1.75,,,,
4670,4670 i23Sst 13.498419246749732 236.42133315750883 0.0372072015250542 0.0120087156151557 12.33125 4.625,12.76,7.28,64.0,True
4671,4671 i23Sst 12.430329595234715 80.13449005193715 0.0414465725863492 0.0099075124166347 11.74375 9.024999999999999,,,,
4672,4672 i23Sst 4.849537583363364 265.6382509205209 0.266090568565351 0.1320323033403956 2.5812500000000003 1.5250000000000001,,,,
4673,4673 i23Sst 4.453874168692818 273.68747289469513 0.2007793392779492 0.0850933938319852 2.63125 1.6749999999999998,,,,
4674,4674 i23Sst 3.819487319685877 256.53676913234483 0.1137220757652135 0.0752974759361137 2.78125 2.15,,,,
4675,4675 i23Sst 4.15  0.2120277051835525 0.116047920047897 2.4937500000000004 2.325,,,,
4676,4676 i23Sst 13.616915625539772 284.9823290771384 0.088408330385221 0.0242194520119842 11.1375 7.699999999999999,,,,
4677,4677 i23Sst 3.8  0.130593035279695 0.0447070223648197 2.725 2.25,,,,
4678,4678 i23Sst 6.024449919399602 316.62305219182343 0.1332373780843168 0.0517804795199528 4.4625 3.975,,,,
4679,4679 i23Sst 11.829665205185789 315.7846922017023 0.1022210817172495 0.0322129676967269 9.2375 8.549999999999999,,,,
4680,4680 i23Sst 14.372312344642094 315.2696196900864 0.0483893348457861 0.0249269357538893 12.531250000000002 6.6499999999999995,,,,
4681,4681 i23Sst 12.978582870908449 327.7670962923691 0.0491036651523645 0.0431150985236129 11.181250000000002 9.950000000000001,,,,
4682,4682 i23Sst 10.63084614372748 333.59802758838003 0.05270380520702 0.0060482742940752 8.950000000000001 2.9749999999999996,,,,
4683,4683 i23Sst 7.592448090228546 329.6899047014727 0.0996124486600434 0.0405413153511353 5.86875 6.075,,,,
4684,4684 i23Sst 11.40993873436098 329.656420128232 0.0493499254968435 0.0201347007313147 10.05625 4.0,,,,
4685,4685 i23Sst 14.3300088926154 320.14930875678124 0.0296537840749336 0.0244034826977899 12.918749999999998 9.25,,,,
4686,4686 i23Sst 10.4402530671865 351.7349054502214 0.0508540377357402 0.0290032776673918 8.8625 7.1499999999999995,,,,
4687,4687 i23Sst 11.52234560105352 344.4010758232026 0.0669343052580342 0.0280910896306983 10.075 4.525,12.200000000000001,8.72,68.5,True
4688,4688 i23Sst 10.571043669476948 333.34349532203595 0.0751758388962546 0.0114912852976702 8.9125 3.85,,,,
4689,4689 i23Sst 5.682758601503463 356.0093927266778 0.2009224290247534 0.1827408637360875 3.25 2.875,,,,
4690,4690 i23Sst 12.513631098807316 8.738570087689741 0.0951710219337592 0.0154351956138476 10.55 5.324999999999999,,,,
4691,4691 i23Sst 11.067418354894244 6.894025963742077 0.0844670932642165 0.0377379944771898 9.1375 3.3499999999999996,,,,
4692,4692 i4Htr3a 2.05  0.0862574398664781 0.0879993107822041 1.49375 1.5750000000000002,,,,
4693,4693 i4Htr3a 1.75  0.0813485677471248 0.010192913500575 1.4125000000000003 2.375,,,,
4694,4694 i4Htr3a 2.262823349097661 166.08587455932422 0.0996351303966483 0.0042763041811044 1.9375 2.4,,,,
4695,4695 i4Htr3a 2.4  0.1039173545085099 0.0706293878255075 1.6250000000000002 1.85,,,,
4696,4696 i4Htr3a 2.1  0.0766032346285426 0.1008130241508904 1.5000000000000002 1.2500000000000002,,,,
4697,4697 i4Htr3a 2.4  0.1450174073415334 0.0753093575843184 1.7437499999999997 1.7,,,,
4698,4698 i4Htr3a 2.05  0.0096205004243067 0.0489196550486695 1.8375 1.95,,,,
4699,4699 i4Htr3a 2.15  0.0464127589951851 0.1223487771479963 1.64375 1.775,,,,
4700,4700 i4Htr3a 2.4  0.053033008588991 0.0213388347648318 2.0 1.9,,,,
4701,4701 i4Htr3a 2.35  0.1053567523671484 0.121678446018193 1.46875 0.95,,,,
4702,4702 i4Htr3a 1.7435962759038528 140.19795485013486 0.0573423070155539 0.045638887016097 1.8625 2.05,,,,
4703,4703 i4Htr3a 2.05  0.0985123299307101 0.1686914452150451 1.1437499999999998 0.875,,,,
4704,4704 i4Htr3a 2.4  0.0284090909090908 0.042880168035816 2.2 2.175,,,,
4705,4705 i4Htr3a 2.537337327238113 269.8868470360601 0.1206766844999887 0.0495679432204471 1.96875 1.425,,,,
4706,4706 i4Htr3a 2.0  0.0936670230511207 0.0775184010337655 1.6125 2.1,,,,
4707,4707 i4Htr3a 2.2  0.0457366016959488 0.072123704714686 1.75 2.625,,,,
4708,4708 i4Htr3a 2.15  0.042251209048394 0.0776058265431025 1.78125 1.975,,,,
4709,4709 i4Htr3a 1.6  0.032482443923099 0.0594628521810224 1.3875 1.65,,,,
4710,4710 i4Htr3a 2.05  0.0163216640693415 0.0708114594790535 1.7125 1.8749999999999998,,,,
4711,4711 i4Htr3a 3.3  0.1219077349673733 0.1000814928509319 2.375 2.225,,,,
4712,4712 i4Htr3a 3.35  0.0750958337073854 0.0600572462631811 2.53125 2.7500000000000004,,,,
4713,4713 i4Htr3a 2.35  0.0468282636547382 0.0634955362390444 1.8875 2.125,,,,
4714,4714 i4Htr3a 1.9955415052508776 262.74984461543914 0.1756074327879415 0.1300423886280404 1.19375 1.75,,,,
4715,4715 i4Htr3a 2.5  0.0334707909611734 0.0971056925985923 2.0625 2.3750000000000004,,,,
4716,4716 i4Htr3a 1.95  0.1099340867455719 0.0760473769795363 1.3937499999999998 1.05,,,,
4717,4717 i4Htr3a 2.4201440033509254 225.00000272129049 0.0450098693963261 0.0481851968941465 2.0875000000000004 1.725,,,,
4718,4718 i4Htr3a 3.183695563454467 306.48266942810653 0.1077702105816745 0.0361057697188752 2.35 1.7750000000000001,,,,
4719,4719 i4Htr3a 1.65  0.0639137490706141 0.1004881084693909 1.275 1.375,,,,
4720,4720 i4Htr3a 1.65  0.1273089969947659 0.1241255403031471 1.2312500000000002 1.2,,,,
4721,4721 i4Htr3a 3.65  0.070066376045534 0.063693458276383 2.625 2.4749999999999996,,,,
4722,4722 i4Htr3a 1.709426896173215 326.57258673943807 0.1087816853918816 0.0590012159248072 1.15625 1.45,,,,
4723,4723 i4Htr3a 2.05  0.0302213218486662 0.106356623405602 1.5750000000000002 1.6,,,,
4724,4724 i4Sst 10.8  0.0308352058680997 0.0246322769581251 9.73125 3.725,16.2,7.88,58.0,True
4725,4725 i4Sst 9.95  0.0258250545022208 0.0260711623127094 8.925 3.125,,,,
4726,4726 i4Sst 10.15  0.0122341464913355 0.027692214570455 9.54375 2.9,19.24,8.84,60.0,True
4727,4727 i4Sst 10.35  0.0449210003745801 0.0211286006971793 9.25 3.15,16.080000000000002,7.16,59.0,True
4728,4728 i4Sst 9.7  0.02884860657166 0.0120181578502017 8.956249999999999 3.15,12.72,6.8,59.0,True
4729,4729 i4Sst 11.8  0.0171963022163881 0.0072179820812122 11.000000000000002 5.4750000000000005,,,,
4730,4730 i4Sst 10.95  0.0089232599643069 0.016174011918996 10.50625 5.074999999999999,15.72,8.72,57.0,True
4731,4731 i4Sst 12.7  0.0056897404007628 0.0171794188630866 12.281249999999998 5.9,13.92,7.760000000000001,61.5,True
4732,4732 i4Sst 10.25  0.0248883216336949 0.0157639724542961 9.79375 3.4000000000000004,15.6,6.0,59.0,True
4733,4733 i4Sst 11.05  0.0191617464934853 0.0205057980676839 10.38125 3.575,15.4,7.16,60.5,True
4734,4734 i4Sst 9.85  0.0234376813251209 0.0562961920927346 8.71875 3.45,18.44,7.96,58.0,True
4735,4735 i4Sst 10.145111557722757 51.95852400645718 0.1472535057385494 0.0765523395862534 7.125 1.75,15.72,6.0,57.0,True
4736,4736 i4Sst 8.75  0.0337885473915279 0.0320655179039829 7.80625 1.675,18.16,7.720000000000001,60.0,True
4737,4737 i4Sst 9.260891211090284 67.97839268814924 0.0658985125165875 0.0533114065795959 7.65 2.25,,,,
4738,4738 i4Sst 8.335595968244887 78.33816674591235 0.1661427867688453 0.0389645919585509 6.03125 1.325,,,,
4739,4739 i4Sst 11.65  0.0111872279769235 0.0209641267222558 11.01875 5.425,15.4,7.119999999999999,57.0,True
4740,4740 i4Sst 8.65  0.0442174886239806 0.0270208196425148 7.7625 1.8750000000000002,16.2,8.120000000000001,63.0,True
4741,4741 i4Sst 11.966879107199626 81.69665554490143 0.0299506839250537 0.0267788972234905 11.05 4.35,14.56,6.6,56.5,True
4742,4742 i4Sst 10.90402765920168 68.48267542410129 0.075828426000189 0.0555073747817208 8.9875 3.35,16.48,6.119999999999999,57.0,True
4743,4743 i4Sst 9.057885212939407 75.86390544942984 0.0639839082388568 0.0469045362043529 7.75625 1.55,17.52,8.040000000000001,62.0,True
4744,4744 i4Sst 9.4  0.0270865977339036 0.0102006513652366 8.84375 2.125,12.6,6.119999999999999,64.0,True
4745,4745 i4Sst 11.818209552294237 87.93890739464261 0.0355228778178909 0.0340924110828532 10.65 4.25,19.439999999999998,7.2,54.0,True
