,node_id pop_name max_mean_rate(Hz) preferred_angle OSI DSI Ave_Rate(Hz) firing_rate_sp,firing_rate_white_flash,firing_rate_black_flash,tfs,significant_tfs
104,104 e5Rbp4 10.946100199241176 53.55375541404416 0.2264675025837395 0.1057021459569107 5.800000000000001 4.075,,,,
105,105 e5Rbp4 6.485306842421525 50.82107966429746 0.2535780523065687 0.0683146207679334 3.7125 3.1750000000000003,,,,
106,106 e5Rbp4 17.44378081346467 43.62538165138327 0.0624641285183262 0.0134140991990011 14.925 11.85,,,,
107,107 e5Rbp4 6.537900016895788 47.70049785765451 0.2561115230615327 0.0882172711111197 3.5 2.25,,,,
108,108 e5Rbp4 2.7754272476118422 41.93620516500157 0.2603972970876653 0.123926243696071 1.5750000000000002 1.725,,,,
109,109 e5Rbp4 6.987097347881663 51.11612637878087 0.430801020948947 0.1237278100637584 2.8625000000000003 1.5499999999999998,,,,
110,110 e5Rbp4 6.573725618916591 52.46197266440167 0.1884586532241075 0.0415482708427403 4.2875 3.3499999999999996,,,,
111,111 e5Rbp4 7.194249097340825 57.83445855710719 0.2202233453201629 0.1365922094034898 4.025 2.225,,,,
112,112 e5Rbp4 9.4264667117776 53.31520878011426 0.3455939928628572 0.1219302883580414 4.4 3.25,,,,
113,113 e5Rbp4 8.752812612174418 51.89818754263808 0.2348573035954537 0.1007967164874835 4.925 3.3999999999999995,,,,
114,114 e5Rbp4 6.545531613109277 56.69581284523268 0.1922974231362716 0.1205963745032808 3.825 3.725,,,,
115,115 e5Rbp4 4.227635298052612 46.63453195313845 0.2185511148140503 0.1221022449235035 2.3875 2.875,,,,
116,116 e5Rbp4 4.428278095475124 52.61510118277653 0.2081857730928894 0.1393636675788686 2.45 2.1500000000000004,,,,
117,117 e5Rbp4 6.669463764923439 48.801494026827655 0.1896471427332098 0.0755538226163918 4.1125 3.2249999999999996,,,,
118,118 e5Rbp4 6.107816792276501 49.7348319568101 0.1696615046575048 0.0964064215075875 3.575 2.6,,,,
119,119 e5Rbp4 7.294928129088397 56.085574369313 0.3002744733638686 0.1054440949843183 3.46875 2.575,,,,
120,120 e5Rbp4 7.27708762874838 49.19138016285763 0.2128569782937588 0.0940081731777614 4.137499999999999 2.775,,,,
121,121 e5Rbp4 6.006300470934808 54.415746495408015 0.173351485729071 0.0617060959061169 3.95625 3.975,,,,
122,122 e5Rbp4 5.185099163612319 52.68118032913794 0.2096458014153603 0.0809738648008016 3.2187500000000004 2.3000000000000003,,,,
123,123 e5Rbp4 15.484841476285428 45.62920341157266 0.0591874999696979 0.0235024013749139 13.2 10.225,,,,
124,124 e5Rbp4 17.74983759679996 55.26063366012226 0.3586279088764518 0.1030548110164717 8.4125 4.8999999999999995,,,,
125,125 e5Rbp4 4.177524958674021 64.59297569773749 0.2279336719059611 0.1028347349280807 2.1500000000000004 1.8,,,,
126,126 e5Rbp4 5.495174090041121 64.11845599103296 0.1642552463974421 0.0651422778050734 3.625 2.975,,,,
127,127 e5Rbp4 14.537939719722493 232.172841079696 0.0586050135056693 0.0097244604318347 12.881249999999998 10.674999999999999,,,,
128,128 e5Rbp4 3.194476203129994 55.89905611355053 0.234206999469261 0.1125915776217651 1.81875 1.5,,,,
129,129 e5Rbp4 8.389253424660373 57.793381644527535 0.4120861625128326 0.0682874204252674 4.049999999999999 3.025,17.64,16.8,43.5,False
130,130 e5Rbp4 5.371239227703367 47.80680368448216 0.1321737868877211 0.0961267653562478 3.4062500000000004 2.7,,,,
131,131 e5Rbp4 4.742473054207831 55.74946147883324 0.1657973456412657 0.0905499817894126 2.85625 2.625,,,,
132,132 e5Rbp4 5.410007940516009 53.130366842690925 0.1637302093327967 0.0858140982965759 3.34375 3.1,,,,
133,133 e5Rbp4 7.030177364880218 62.51546234781824 0.2264593754786689 0.1265292849932409 3.95 3.375,,,,
134,134 e5Rbp4 7.215255415826324 62.1463650011126 0.2252775095215968 0.1067620482512022 4.09375 3.4750000000000005,,,,
135,135 e5Rbp4 3.7592354670263415 55.840005393256256 0.0693363571718952 0.0325518408718448 3.23125 2.4750000000000005,,,,
136,136 e5Rbp4 13.837980174952683 59.31695212516712 0.2896348422506655 0.079641159002903 7.6 4.275,,,,
137,137 e5Rbp4 19.970502619414525 61.11535940692379 0.1013549775176753 0.0269978688417971 15.525 14.275,,,,
138,138 e5Rbp4 4.593004849899912 66.60255453757951 0.1049047559615959 0.1380264380163077 2.99375 2.775,,,,
139,139 e5Rbp4 14.437867434227876 64.89706550762911 0.369187927283081 0.1453512933015763 6.750000000000001 4.925,,,,
140,140 e5Rbp4 5.473178139847704 60.89465240125647 0.2055343820734858 0.1283830544611204 3.025 2.975,,,,
141,141 e5Rbp4 2.7345644506781426 59.61280460012415 0.2218740598992972 0.012522995777579 1.5875 1.2249999999999999,,,,
142,142 e5Rbp4 3.76077078931262 58.86730226418211 0.2644736674669795 0.0370754618936528 2.29375 1.975,,,,
143,143 e5Rbp4 6.448409781404627 59.64353680026243 0.2150216950519427 0.0950198402083645 3.8625 4.725,,,,
144,144 e5Rbp4 2.8673102363204688 65.0503058574545 0.1835882950414452 0.093632818738396 1.8875 1.25,,,,
145,145 e5Rbp4 13.653431984942191 60.34979361888201 0.336927845286824 0.0809160200668855 6.831250000000001 4.1,15.76,12.48,49.0,False
146,146 e5Rbp4 5.898335960531521 72.13874341489789 0.3073736801422194 0.1986802335544877 2.725 2.25,,,,
147,147 e5Rbp4 5.713668016524511 63.78689163128296 0.1521954693901948 0.0764089994117756 3.84375 3.5500000000000007,,,,
148,148 e5Rbp4 7.564361935404219 67.45352832973013 0.2029230834029923 0.0991064758191252 3.75 3.2249999999999996,,,,
149,149 e5Rbp4 3.1425670353663206 62.81077593906088 0.2623849707965892 0.093260297106699 1.85 2.0,,,,
150,150 e5Rbp4 5.041040938493958 72.11555404124437 0.1766376592364252 0.1065336437665786 3.1562500000000004 3.475,,,,
