connection pre post syntype N_90th N_resting mean_90th mean_resting median_90th median_resting std_90th std_resting logn_shape_90th logn_shape_resting logn_scale_90th logn_scale_resting
l23_pyr__to__vip l23_pyr vip ex 9 9 1.85987672513863 0.613046150734517 1.85201844699273 0.562375923698523 0.658496299842589 0.448387315999693 0.524391634813887 0.866280545182256 1.67863503421388 0.443197184360619
l23_pyr__to__sst l23_pyr sst ex 18 18 1.65852739757129 0.302222225102586 0.98749154306859 0.123681279339567 1.43180022280567 0.436736280586882 0.944402470428765 1.97220202390336 1.1145619243319 0.098277650346315
l23_pyr__to__pvalb l23_pyr pvalb ex 18 18 0.627283867677703 0.378410295964478 0.466850529351436 0.223651304956443 0.442870860174603 0.401983269362372 0.477681017656326 0.931265838119063 0.542961155137451 0.243758341913914
l23_pyr__to__l6_pyr l23_pyr l6_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l23_pyr__to__l5_IT_pyr l23_pyr l5_IT_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l23_pyr__to__l5_ET_pyr l23_pyr l5_ET_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l23_pyr__to__l4_pyr l23_pyr l4_pyr ex 0 0 [] [] [] [] [] [] [] [] [] []
l23_pyr__to__l23_pyr l23_pyr l23_pyr ex 11 10 0.522461156232853 0.255914540716973 0.294133926595472 0.118853313560774 0.388323097879593 0.273112094129717 0.781140619091607 1.14317727516001 0.390889002620308 0.139361442080847
l23_pyr__to__all_pyr l23_pyr all_pyr ex 11 10 0.522461156232853 0.255914540716973 0.294133926595472 0.118853313560774 0.388323097879593 0.273112094129717 0.781140619091607 1.14317727516001 0.390889002620308 0.139361442080847
l23_pyr__to__all_int l23_pyr all_int ex 48 48 1.26225511218164 0.412945976592154 0.769055207614604 0.250324147107562 1.09968127024905 0.433157953594768 0.811104725083835 1.52983841644692 0.906651109979451 0.206721771773509
all_pyr__to__vip all_pyr vip ex 11 11 1.62064563728577 0.512662165060019 1.61863063317349 0.344268690369306 0.782546274096952 0.458199999876217 0.643568643506514 1.13220153167306 1.36758477179389 0.30428004714956
all_pyr__to__sst all_pyr sst ex 45 45 1.10715471583218 0.208635602610696 0.64423475754627 0.068048733018477 1.12247017163703 0.370610123595459 0.91813179826175 6.51495897541658 0.730458741451659 0.017720044612348
all_pyr__to__pvalb all_pyr pvalb ex 47 47 0.783247425118239 0.528164345360624 0.612241977877224 0.402706941101002 0.539851449772124 0.429500365363112 0.593042704539707 0.997261180678946 0.651170892816395 0.351086236256408
all_pyr__to__l6_pyr all_pyr l6_pyr ex 4 4 [] [] [] [] [] [] [] [] [] []
all_pyr__to__l5_IT_pyr all_pyr l5_IT_pyr ex 16 16 0.383121100850899 0.233500516445288 0.245760430433437 0.124167103234577 0.297921589327843 0.265714596044748 0.722436803100253 1.02768544551215 0.292081093091516 0.13591829178826
all_pyr__to__l5_ET_pyr all_pyr l5_ET_pyr ex 35 34 0.438741694907076 0.404539423630595 0.350421074679736 0.323353522994725 0.308700545738831 0.340094292806759 0.659212613959418 0.906210277605106 0.353204714594867 0.280627906174273
all_pyr__to__l4_pyr all_pyr l4_pyr ex 25 25 0.446413688604403 0.33599644723114 0.378366976823616 0.193041102151764 0.214218426038711 0.281908082165771 0.490254385647854 0.831072901133089 0.397532716478162 0.238452532594417
all_pyr__to__l23_pyr all_pyr l23_pyr ex 11 10 0.522461156232853 0.255914540716973 0.294133926595472 0.118853313560774 0.388323097879593 0.273112094129717 0.781140619091607 1.14317727516001 0.390889002620308 0.139361442080847
all_pyr__to__all_pyr all_pyr all_pyr ex 97 95 0.47197354386654 0.371163472017326 0.372843199032284 0.256420529283466 0.347740939854916 0.371311703203749 0.677715701768972 1.09908871554 0.374646029291992 0.222883336437898
all_pyr__to__all_int all_pyr all_int ex 113 113 0.995736082568865 0.420688761721561 0.688236818238875 0.235699020862368 0.873995074217333 0.459196550283464 0.768994601605558 4.44406007940587 0.737614621960669 0.109340823606431
all_int__to__vip all_int vip in 64 63 0.759343765286475 0.361888300184434 0.631257551303009 0.165103909006424 0.584810401252026 0.477300407568826 0.694631899643728 3.82265977495766 0.594654218842824 0.104038108531874
all_int__to__sst all_int sst in 93 93 0.55920292907611 0.313638949359452 0.458071092650582 0.18244617384907 0.365105843877441 0.327835357222172 0.519648422426024 1.05201530350862 0.48248761838282 0.199835930270542
all_int__to__pvalb all_int pvalb in 323 322 0.613965667032267 0.56472787379537 0.497940644862383 0.349172885490135 0.437158328950028 0.547793956834658 0.677505866200041 1.01342767179203 0.489948124453544 0.356687209051749
all_int__to__l6_pyr all_int l6_pyr in 18 18 0.674601553142279 0.557607175862492 0.523487729324502 0.355083653570967 0.392650658841185 0.574409332768319 0.550495876061397 0.885173457082911 0.577885340782208 0.373354696365747
all_int__to__l5_IT_pyr all_int l5_IT_pyr in 26 26 0.460678870569782 0.384153858817984 0.316050625118959 0.221442201500062 0.357025558416966 0.437054386034678 0.652742786146584 1.03889510336565 0.366679523217916 0.233004538120885
all_int__to__l5_ET_pyr all_int l5_ET_pyr in 19 19 0.52999445112045 0.447527578971874 0.368065206021954 0.329078726076823 0.369372002301305 0.394782313077311 0.664801021825848 1.01891476923903 0.426119934275807 0.288957865425832
all_int__to__l4_pyr all_int l4_pyr in 52 52 0.597017278704907 0.504314054016486 0.443990597209561 0.318084469704979 0.413117207993321 0.476308945086071 0.611636340235283 0.87997051334152 0.489862310398333 0.341203652151653
all_int__to__l23_pyr all_int l23_pyr in 30 30 0.404332283528818 0.310226441792019 0.360385613463312 0.256444078643807 0.17651613152212 0.24542109163308 0.434333247794826 0.985288525756086 0.368325747238463 0.210098969116437
all_int__to__all_pyr all_int all_pyr in 115 115 0.520838189408831 0.454343380278766 0.42275688244458 0.320534593099221 0.345423290635923 0.435719442300435 0.590008460763533 0.988282048463628 0.434975396922198 0.296424692551937
all_int__to__all_int all_int all_int in 476 474 0.626027017060919 0.49643782122838 0.502970686301224 0.278157399115357 0.456912914621671 0.524353810877064 0.662322630074395 1.74841734254547 0.501747937961631 0.272995261331308
